agent_name	source_repo	file_path	file_size	line_count
data-visualization	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/data-visualization.md	5082	40
database-optimizer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/database-optimizer.md	5641	100
etl-specialist	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/etl-specialist.md	4920	40
feature-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/feature-engineer.md	5724	40
llm-architect	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/llm-architect.md	5260	84
ml-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/ml-engineer.md	5257	95
mlops-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/mlops-engineer.md	5180	91
nlp-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/nlp-engineer.md	5217	86
prompt-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/prompt-engineer.md	5311	93
recommendation-engine	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/recommendation-engine.md	4744	40
vector-database-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/data-ai/vector-database-engineer.md	5209	40
api-documentation	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/api-documentation.md	4908	40
build-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/build-engineer.md	3639	40
cli-developer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/cli-developer.md	3186	40
dependency-manager	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/dependency-manager.md	3647	40
developer-portal	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/developer-portal.md	5484	40
documentation-engineer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/documentation-engineer.md	3458	40
dx-optimizer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/dx-optimizer.md	3389	40
git-workflow-manager	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/git-workflow-manager.md	3691	40
legacy-modernizer	rohitg00-toolkit	sources/rohitg00-toolkit/agents/developer-experience/legacy-modernizer.md	3745	40
